lat,long,max_temp,humidity,clouds,wind,country,date
-21.2,-175.2,29.714999999999996,73,20,7.72,TO,1620448176
-33.9258,18.4232,28.648000000000003,94,20,0.51,ZA,1620447858
9.5357,99.9357,30.115,83,40,2.57,TH,1620448177
36.6177,-121.9166,28.426,86,4,6.59,US,1620448042
55.754,8.9123,27.871,93,6,2.57,DK,1620448177
22.2855,114.1577,30.415,62,20,5.66,HK,1620448177
-22.2763,166.4572,29.982,78,90,2.06,NC,1620448083
46.0168,-73.4492,28.415,46,100,2.06,CA,1620448178
43.3,52.8,28.885,47,63,2.6,KZ,1620448178
38.4167,141.3,29.915,27,20,7.2,JP,1620448178
-8.9266,125.4092,29.35,79,87,1.37,TL,1620448179
-35.3333,-72.4167,28.633999999999997,88,100,3.31,CL,1620448179
49.7834,-74.8492,27.714999999999996,65,20,2.57,CA,1620447915
-20.3428,57.7575,29.926,83,40,3.6,MU,1620448179
65.8167,87.9833,27.625999999999998,92,100,4.19,RU,1620448180
-34.0527,23.3716,28.874000000000002,88,99,8.55,ZA,1620448180
51.095,54.0814,28.952999999999996,50,100,2.38,KZ,1620448180
-3.6954,128.1814,30.314999999999998,70,40,1.54,ID,1620448181
30.4202,-9.5982,29.014999999999997,100,75,5.14,MA,1620448181
35.1333,140.3,29.871,68,75,7.72,JP,1620448181
-33.8667,121.9,29.214999999999996,59,75,4.12,AU,1620448182
47.6936,-114.1632,27.871,56,79,3.58,US,1620448182
32.6667,-17.1,28.704,62,26,1.34,PT,1620448182
42.8,93.45,30.455000000000002,6,34,2.53,CN,1620448182
39.1834,-84.5333,28.214999999999996,87,75,4.12,US,1620448181
5.9538,116.6641,30.214999999999996,79,20,2.06,MY,1620448183
20.4333,96.15,30.786,35,0,2.86,MM,1620448183
22.9333,57.5333,30.207,48,72,2.67,OM,1620448184
64.8378,-147.7164,28.514999999999997,62,90,2.57,US,1620448184
20.931,-17.0347,29.115,88,75,9.26,MR,1620448184
65.282,-126.8329,28.014999999999997,53,75,5.66,CA,1620448184
-11.0964,-77.6139,29.141000000000002,88,40,3.89,PE,1620448185
57.643,32.466,28.012999999999998,95,100,3.74,RU,1620448185
31.5917,54.4318,29.615,40,19,5.14,IR,1620448185
-25.5333,152.7,29.944,47,100,1.81,AU,1620448186
70.6333,147.9167,27.097,84,100,2.65,RU,1620448186
-5.1989,-35.4608,29.714999999999996,94,40,1.03,BR,1620448186
53.8251,-101.2541,27.814999999999998,48,1,2.06,CA,1620448187
-2.5744,150.7967,30.326999999999998,69,100,7.89,PG,1620448187
-0.9492,100.3543,30.415,70,20,3.09,ID,1620448187
-6.8844,112.2051,30.278,66,54,1.96,ID,1620448187
-3.41,-39.0306,29.926,77,7,0.45,BR,1620448188
66.3167,-179.1667,27.017000000000003,82,6,1.53,RU,1620448188
40.8008,32.1969,28.487000000000002,63,20,2.37,TR,1620448188
40.6576,-73.5832,28.426,62,90,4.12,US,1620448171
40.1774,122.1228,28.831,43,51,10.14,CN,1620448189
20.7,-105.2,29.814999999999998,83,40,0.79,MX,1620447904
27.0167,95.5667,29.723000000000003,67,10,1.1,IN,1620448189
60.1432,-45.2371,27.47,88,74,2.87,GL,1620448189
5.1552,-52.6478,29.758999999999997,94,75,1.54,GF,1620448190
36.365,6.6147,28.314999999999998,100,0,1.03,DZ,1620448098
30.4058,-86.6188,29.415,59,1,4.43,US,1620447947
26.1842,127.7558,30.214999999999996,74,75,6.17,JP,1620448190
47.9714,80.4392,28.994,34,53,7.1,KZ,1620448190
41.6389,-87.5567,27.926,70,1,1.54,US,1620448191
44.0787,-80.2041,27.814999999999998,75,75,1.54,CA,1620448191
42.2506,-75.833,28.093,93,90,3.09,US,1620448191
68.8193,-51.1922,27.214999999999996,80,90,1.54,GL,1620448192
62.6667,135.6,28.556,42,87,1.98,RU,1620448192
15.85,-85.2333,29.679000000000002,90,26,2.75,HN,1620448192
-1.8283,-44.8683,29.672000000000004,95,8,0.99,BR,1620448193
